Country,Country_Code,1/1/1970,1/1/1971,1/1/1972,1/1/1973,1/1/1974,1/1/1975,1/1/1976,1/1/1977,1/1/1978,1/1/1979,1/1/1980,1/1/1981,1/1/1982,1/1/1983,1/1/1984,1/1/1985,1/1/1986,1/1/1987,1/1/1988,1/1/1989,1/1/1990,1/1/1991,1/1/1992,1/1/1993,1/1/1994,1/1/1995,1/1/1996,1/1/1997,1/1/1998,1/1/1999,1/1/2000,1/1/2001,1/1/2002,1/1/2003,1/1/2004,1/1/2005,1/1/2006,1/1/2007,1/1/2008,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,1/1/2017,1/1/2018
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.3035529,343.0808897,333.2166845,357.2347199,365.284495,405.5489791,412.0142867,488.300251,543.3030419,528.7366481,576.1901255,587.5650902,583.6561928,574.1841143,571.0737745,571.5425058,563.8256627
Albania,ALB,,,,,,,,,,,1992.297666,2064.989606,2081.42362,2060.25966,1992.116629,1986.327631,2058.126533,2001.538418,1936.23778,2070.295474,1838.672777,1331.809147,1243.609404,1370.830016,1493.790201,1703.286747,1869.871255,1676.131932,1835.651965,2085.432,2244.631092,2453.631476,2572.728837,2725.179233,2887.378653,3062.682698,3263.911108,3485.332441,3775.592182,3928.461732,4094.362119,4209.886951,4276.62018,4327.392449,4413.309627,4524.386108,4681.840039,4865.209546,5079.40112
Algeria,DZA,2708.427637,2335.752569,2895.750042,2925.066704,3058.783552,3124.367968,3291.643,3366.782007,3571.529954,3726.302969,3643.637567,3638.861284,3752.753949,3833.757207,3925.358431,3949.389304,3850.038967,3715.042876,3577.203459,3636.018998,3572.240575,3443.599411,3424.152283,3278.591779,3182.492539,3240.936162,3315.181071,3297.944351,3414.505291,3474.215313,3557.579333,3616.623037,3770.766354,3991.013362,4108.129799,4290.459984,4299.676713,4377.425591,4409.738484,4403.799997,4480.724539,4524.644811,4588.071133,4623.017322,4702.0917,4777.347657,4830.116707,4793.866702,4764.375636
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10551.21257,10561.31569,10586.68234,10565.23192,10202.95531,10535.55194,10416.00578,10117.01136,10271.22452,10360.50915,9921.806108,9640.344462,9717.829056,9850.565034,9589.979837,9048.182522,9271.71201
Andorra,AND,42137.51899,41883.14121,43051.22318,44201.72808,44648.38222,43158.00761,43079.8158,42958.89386,42339.33407,41041.86678,40495.69802,38896.62594,37756.4209,36776.51496,35820.93175,35095.99254,34744.39245,35204.98946,35546.64955,35831.62082,35780.51967,35291.71141,34278.6471,32766.05967,32633.82513,32917.64882,34175.26007,37293.28241,38595.72321,40035.48245,40801.54213,41420.84618,42396.3024,45519.49238,47032.86689,48831.92936,49707.17302,48710.0755,43900.42821,41979.36888,39736.35406,38207.59591,38192.43989,39111.07953,40790.19801,41767.52651,42949.66624,43858.07751,44569.78301
Angola,AGO,,,,,,,,,,,3179.538458,2934.397724,2831.972152,2847.501756,2912.66515,2909.528915,2890.015007,2904.129541,2976.636004,2877.338297,2685.778574,2623.713998,2390.807767,1759.353108,1726.315687,1922.416193,2113.750766,2195.718859,2225.684357,2201.52946,2195.630582,2213.681162,2433.804393,2423.293995,2597.456995,2883.978211,3102.650928,3409.503462,3652.153498,3549.577857,3587.883798,3579.960081,3748.449445,3796.882622,3843.198241,3748.320623,3530.309423,3409.929285,3229.61974
Antigua and Barbuda,ATG,,,,,,,,5197.160456,5435.740857,5882.900631,6371.977746,6622.020946,6618.706712,6972.832278,7681.744698,8268.921408,9224.114381,9841.234613,10345.23335,10846.97626,11080.72573,11172.03289,11107.91584,11462.22941,11967.83388,11201.74013,11685.82372,12062.0076,12370.46666,12580.03747,13184.90924,12337.60491,12291.54926,12870.94771,13433.78138,14097.09667,15653.37472,16833.70452,16558.45791,14327.31085,13049.25705,12618.07913,12876.88929,12644.68902,12976.33146,13328.14665,13917.95112,14220.50211,15134.88416
Argentina,ARG,7084.181478,7368.07758,7368.50577,7453.753557,7740.855928,7617.943151,7350.828567,7743.582315,7285.439556,7910.366622,7908.022618,7380.674984,7210.347021,7403.72721,7399.889119,6904.645044,7214.270703,7294.064256,7104.181201,6497.425545,6245.708577,6721.278239,7157.328311,7644.235692,7988.644614,7666.530004,7994.243371,8543.028534,8772.06321,8381.253998,8224.112827,7776.137872,6854.294081,7380.467087,7962.412309,8577.864994,9174.502458,9901.511881,10201.47594,9502.243585,10385.96443,10883.31536,10649.83729,10784.6307,10398.69401,10568.15781,10239.48135,10404.26351,10043.50855
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,1796.933384,1601.590624,949.0312917,886.0301513,956.4688466,1043.541195,1121.879504,1172.13568,1267.574059,1317.739791,1404.32009,1548.059613,1761.841234,2019.900532,2244.139398,2571.977128,2934.024882,3366.664939,3629.909091,3137.346098,3218.372707,3370.551103,3603.595848,3705.357396,3819.217787,3923.716502,3917.379676,4198.794749,4406.706434
Aruba,ABW,,,,,,,,,,,,,,,,,15669.61604,18427.61153,22134.01727,24837.95096,25357.78694,26329.31314,26401.96874,26663.20776,27272.31004,26705.181,26087.77581,27190.50118,27151.9241,26954.40451,28417.38421,26966.05479,25508.30252,25469.28741,27005.52953,26979.88536,27046.22396,27427.57826,27365.93096,24463.69225,23512.6026,24233.00108,23781.2573,24635.76495,24697.49403,24452.60657,24277.40679,24485.08328,
Australia,AUS,26120.64947,26263.48967,26794.02202,27077.1153,27483.68695,27513.86851,27944.23363,28625.19424,28547.98254,29383.07357,29907.78635,30419.53253,30912.22222,29850.19433,30866.25182,32045.31602,32797.09464,33126.79271,34460.03653,35191.11444,35912.20924,35316.53701,35034.53266,36091.38898,37133.6484,38095.12953,39056.18102,40153.61225,41555.94435,43168.29246,44334.39293,44585.19852,45806.69447,46595.90092,47926.74866,48813.88776,49443.22553,51024.24113,51841.27303,51767.37784,52022.1256,52567.77724,53682.04722,54129.93905,54679.42018,55079.89212,55728.68446,56095.18632,56842.30551
Austria,AUT,19573.86715,20483.45356,21628.9664,22561.3708,23410.89059,23387.7067,24501.74966,25736.55155,25703.13771,27126.17853,27595.83511,27485.83251,28018.54125,28898.21922,28914.85696,29623.43452,30285.93358,30677.5444,31643.80938,32726.05985,33888.99603,34707.07169,35045.84476,34941.14386,35643.02815,36537.99352,37346.00747,38084.7025,39405.41522,40727.4845,42001.21077,42370.93025,42859.32994,43052.6026,43956.5829,44637.85601,45951.73464,47510.29379,48053.48236,46123.4911,46858.04327,48065.31654,48172.23812,47901.36613,47842.74891,47789.38502,48259.9376,49112.73289,50019.87021
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,3167.062088,3096.449796,2360.6147,1787.943763,1416.442362,1234.99656,1238.481366,1297.733809,1414.022286,1505.390501,1658.805293,1808.957401,1964.986328,2149.232505,2327.651858,2948.206048,3921.027553,4863.98288,5267.371989,5642.526797,5842.805784,5676.450413,5724.920832,5981.538695,6072.58604,6063.730117,5812.584374,5739.594555,5768.992405
"Bahamas, The",BHS,25195.99951,24941.40554,23530.94659,24802.55289,20245.22126,16903.50499,17410.11392,18599.81512,20775.81347,25633.18566,26700.94494,23704.42912,24734.32991,25066.21027,28016.07271,28786.21622,28759.28281,29099.69578,29268.90126,30706.55712,29686.89784,27923.97163,26348.84556,25938.53555,26291.97935,27018.34496,27783.25708,28022.67923,29017.29104,30723.97524,31570.52817,31910.50956,32236.44879,31272.83812,30978.58232,31442.27887,31632.45349,31485.49374,30190.75104,28440.07222,28443.40766,28248.84978,28799.92141,27676.89741,27620.09553,27519.84808,27370.20254,27113.67537,27261.21448
Bahrain,BHR,,,,,,,,,,,21185.00475,19295.60518,17290.83596,17906.03487,18304.68153,16926.47296,16571.52027,17663.56267,18240.7419,17702.50429,17934.7616,19407.65408,20178.52461,22218.0606,21623.23477,21910.34028,22220.78269,22281.7807,22634.98565,22761.15356,22955.23726,22416.23091,21981.91953,22058.87215,22144.60688,22066.20907,21795.64147,21837.50689,21562.01824,20795.70819,20722.13729,20516.58832,20924.73089,21805.1376,22395.30603,22435.73394,22336.77993,22126.68822,21438.4099
Bangladesh,BGD,411.1843628,380.9486089,322.3344057,328.0718859,353.7625035,332.8880625,343.948157,344.4355662,359.0906051,366.2411113,359.4562576,375.4274321,373.5513482,378.0919289,386.0614432,388.6442738,394.3350689,398.5881267,397.7619117,398.8521103,411.1646112,415.7147409,428.6610176,439.2300002,446.6548127,459.6133678,470.2746886,481.122454,495.6267541,508.3852227,524.9458697,541.2916609,551.9030477,568.1392256,588.3272589,617.5426664,649.9298851,687.3230856,720.3570039,748.2960605,781.1535936,822.1883388,865.7498911,907.257418,951.314821,1002.388853,1062.040158,1127.271768,1203.216265
Barbados,BRB,,,,,11160.21999,10881.01564,11289.90947,11637.46737,12143.26352,13041.89252,13555.9714,13250.98056,12562.67456,12590.66057,13007.77464,13111.32242,13735.30905,14041.37934,14479.82116,14944.54279,14396.02256,13783.40567,12950.27546,13004.10683,13214.56058,13426.87101,13903.59534,14500.84622,14977.33742,14965.50553,15569.79573,15146.54925,15214.16899,15493.92417,15658.12679,16216.27253,17064.20732,17305.07234,17385.2206,16472.29036,16056.11684,15880.3368,15829.85166,15580.34545,15525.07683,15839.63658,16173.8682,16121.22628,16018.04113
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,3180.542094,3140.834442,2833.199872,2611.996059,2309.098658,2075.649995,2140.908855,2395.109362,2608.675174,2708.739335,2879.380065,3030.947526,3204.198985,3453.963665,3875.783065,4269.166022,4724.924546,5154.867164,5700.319381,5724.468852,6181.399916,6525.851369,6642.035132,6707.62153,6817.289219,6545.780527,6372.401795,6536.012102,6744.49867
Belgium,BEL,19807.71836,20559.71616,21563.87078,22867.94345,23836.80736,23300.75817,24573.94421,24697.30017,25375.48553,25946.21258,27069.42631,26994.53771,27162.53261,27249.40174,27921.89555,28374.65437,28881.55905,29522.57888,30818.85482,31772.38986,32671.63368,33147.1274,33518.23129,33066.4057,34028.41283,34767.01661,35157.69237,36403.25077,37038.25317,38262.62573,39588.59801,39886.49436,40385.86895,40634.58549,41903.97642,42641.67746,43442.5679,44710.38502,44556.82058,43306.59913,44141.87814,44309.62537,44361.20847,44355.36945,44855.95787,45503.35199,45957.68211,46680.20752,47166.48436
Belize,BLZ,1317.380702,1340.887178,1450.506976,1502.796459,1680.412806,1715.274878,1690.74982,1776.379627,1889.823444,1998.23407,2221.916287,2195.165649,2135.860765,2032.113192,2013.710548,1977.684929,2010.802448,2165.968761,2315.432784,2553.314585,2783.553864,3044.610775,3355.661324,3506.737155,3441.619799,3375.374233,3316.21019,3311.087053,3305.687426,3464.328551,3783.540517,3852.610809,3936.951479,4191.609328,4274.138256,4271.612591,4351.869006,4286.740407,4312.686455,4233.549926,4270.799647,4260.461751,4284.899461,4224.967251,4286.113,4340.267536,4227.291321,4203.959118,4248.999055
Benin,BEN,581.8021469,560.7265982,583.6250476,591.6271357,597.2397817,554.4770449,545.6753952,558.4765216,550.9634759,571.629625,594.1986721,635.7370867,632.1432265,587.8605585,616.6384802,644.2153326,639.3721789,611.6242291,613.8294222,578.1033063,609.9400752,614.6042912,611.146529,624.5623575,615.7205306,631.786967,638.6988105,655.1813553,661.2762653,676.3366434,694.9210232,710.1614899,720.8708421,723.3721983,733.0498574,723.9054821,730.9875917,752.9488653,767.7796606,763.8990481,758.4350829,759.3153097,773.9300062,806.7423796,834.4435964,828.6430585,838.0335784,862.8970417,897.1987833
Bermuda,BMU,42055.03047,43819.35839,44942.91915,45948.83383,46699.09897,48824.50177,52988.74551,55903.55906,56504.09149,57503.21894,61083.45095,62106.1318,58400.28398,59061.16971,58826.95497,57167.10189,60463.90879,62224.89178,64196.23243,63939.81157,63429.27677,61503.63836,61913.77723,63435.47315,63374.76685,65690.96417,66969.93314,69624.43634,71810.38407,73825.18485,79988.35001,84844.73838,83048.80311,85321.24327,86733.37007,87616.38597,91944.87381,94029.60803,94903.19153,89391.21118,88207.32756,86001.17117,81547.85524,79251.78166,,,,,
Bhutan,BTN,,,,,,,,,,,405.9365632,449.9671161,453.5874066,492.3925562,501.1822408,507.9023891,550.380459,685.936584,698.6240973,732.3836413,798.8460699,789.8913075,826.4126571,845.8666243,888.9163901,946.9515428,987.0138149,1020.742865,1056.843331,1114.553193,1165.327924,1234.569272,1339.543749,1415.056801,1472.747477,1553.51098,1638.022932,1909.961222,1980.962408,2091.939211,2312.860096,2467.309594,2561.830177,2584.829837,2699.820305,2844.322902,3035.658708,3138.442342,3172.773862
Bolivia,BOL,1399.515231,1439.011843,1520.2682,1572.743685,1583.775201,1662.482459,1701.092586,1746.450133,1743.389496,1708.169205,1649.255629,1619.790819,1524.614155,1433.774844,1402.225162,1350.754114,1288.940231,1293.286087,1303.10781,1324.16335,1356.539937,1398.123063,1391.480168,1420.743276,1456.394605,1493.418468,1527.111341,1570.824978,1617.367106,1592.737415,1601.416658,1597.642011,1606.904677,1620.263664,1657.505128,1700.182791,1750.803048,1799.498546,1878.110313,1909.084588,1955.461557,2024.117324,2094.024217,2201.396848,2286.013198,2361.056581,2425.56159,2490.956314,2559.511317
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,701.4750988,871.1662887,1674.395171,2267.290594,2622.204171,2867.013022,3018.391611,3147.562546,3310.967058,3440.855799,3648.78677,3967.195052,4182.005415,4429.989879,4680.98616,4562.708523,4635.517779,4734.214922,4774.385281,4972.661219,5117.140156,5356.300064,5595.09967,5773.373097,6032.246199
Botswana,BWA,744.9229889,910.2520154,1114.443209,1307.140216,1372.792494,1435.239207,1529.018541,1647.324927,1811.173931,1954.642049,2108.995889,2219.727318,2405.816904,2631.227907,2758.305057,2849.467405,2967.594603,3193.814249,3671.443435,4002.761524,4133.458227,4309.257049,4313.86398,4284.792104,4332.029054,4525.76851,4676.43569,4948.405229,4858.706319,5214.446221,5211.073705,5126.354186,5341.920093,5493.144116,5542.305427,5686.780532,6038.79181,6400.717568,6657.832383,6029.198631,6434.815657,6728.201954,6944.807637,7646.414315,7864.253281,7613.69841,7797.144122,7859.436483,8031.013803
Brazil,BRA,4704.317561,5108.403386,5587.886256,6219.514016,6623.415508,6805.298288,7296.347484,7453.590172,7514.289263,7835.070313,8349.48782,7796.854344,7660.578573,7230.716108,7442.972411,7862.703519,8316.516809,8445.712012,8276.326867,8389.978723,7983.746776,7963.111809,7791.757425,8020.606574,8311.560888,8540.076878,8591.014709,8744.846346,8641.275309,8554.072776,8803.152529,8804.329488,8954.837245,8943.828483,9346.039343,9535.41883,9805.724506,10293.53034,10710.87222,10594.98659,11286.24302,11627.81065,11745.77593,11993.4862,11951.21238,11431.14446,10962.62678,10990.18484,11026.24121
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,,,,,45632.24667,43937.46879,50735.57673,54169.98977,55768.53774,66019.87519,59413.39461,46170.99326,46590.01763,45496.4993,44489.95516,42601.63768,40284.28032,39943.67288,39251.68759,37740.77822,37080.90577,37171.47491,37848.12925,36913.64612,37052.26797,37713.68994,37842.928,36409.37199,35390.79018,35680.97887,35931.5965,36171.80507,36841.29421,37212.46691,36761.24982,36329.49828,37399.74001,36987.84159,35844.41601,34800.56353,35269.55311,36121.89198,35967.3284,34729.82663,33471.14645,32869.28662,31685.22545,31752.74081,31436.8682
Bulgaria,BGR,,,,,,,,,,,3223.808994,3370.529191,3439.028259,3548.132149,3660.068883,3758.340027,3917.514795,4148.593812,4597.475432,4498.55198,4162.815704,3849.186301,3607.793674,3582.856116,3660.401977,3781.903492,3828.246422,3809.686513,4078.689306,3756.750853,3955.275802,4186.920419,4532.853869,4804.484362,5152.414008,5561.163843,5988.770951,6476.054203,6914.398435,6709.527315,6843.26695,7019.174046,7062.134977,7136.845978,7309.415115,7611.550878,7966.882009,8331.152273,8651.094801
Burkina Faso,BFA,273.3315155,272.4104604,273.8369546,270.1828957,287.2645617,290.3731086,309.1538507,304.2422268,311.8341788,316.4377466,311.8915691,317.6075453,339.5632919,332.2601799,318.1024319,336.4115864,353.888019,343.970455,354.4889765,352.6778596,341.3526172,362.47892,353.668786,356.1288634,351.1044587,361.121422,389.9654459,403.2169436,420.7234544,439.2997264,434.7633304,450.4522807,456.7341349,478.3043523,485.3074043,511.9675905,527.9623877,541.268695,563.4471034,562.8419726,575.4464527,595.3929889,615.0959708,631.6102606,639.7080956,645.3698606,663.8474288,685.8839367,712.0360878
