Country,Country_Code,population
Afghanistan,AFG,38042000
Albania,ALB,2867000
Algeria,DZA,43053000
American Samoa,ASM,55000
Andorra,AND,77000
Angola,AGO,31825000
Antigua and Barbuda,ATG,97000
Arab World,ARB,427877000
Argentina,ARG,44901000
Armenia,ARM,2958000
Aruba,ABW,106000
Australia,AUS,25303000
Austria,AUT,8865000
Azerbaijan,AZE,10032000
"Bahamas, The",BHS,389000
Bahrain,BHR,1641000
Bangladesh,BGD,163046000
Barbados,BRB,287000
Belarus,BLR,9467000
Belgium,BEL,11483000
Belize,BLZ,390000
Benin,BEN,11801000
Bermuda,BMU,
Bhutan,BTN,763000
Bolivia,BOL,11513000
Bosnia and Herzegovina,BIH,3301000
Botswana,BWA,2304000
Brazil,BRA,211050000
British Virgin Islands,VGB,30000
Brunei Darussalam,BRN,433000
Bulgaria,BGR,6970000
Burkina Faso,BFA,20321000
Burundi,BDI,11531000
Cabo Verde,CPV,550000
Cambodia,KHM,16487000
Cameroon,CMR,25876000
Canada,CAN,37375000
Caribbean small states,CSS,7401000
Cayman Islands,CYM,65000
Central African Republic,CAF,4745000
Central Europe and the Baltics,CEB,102181000
Chad,TCD,15947000
Channel Islands,CHI,172000
Chile,CHL,18952000
China,CHN,1397295000
Colombia,COL,50339000
Comoros,COM,851000
"Congo, Dem. Rep.",COD,86791000
"Congo, Rep.",COG,5381000
Costa Rica,CRI,5048000
Cote d'Ivoire,CIV,25717000
Croatia,HRV,4071000
Cuba,CUB,11333000
Curacao,CUW,161000
Cyprus,CYP,1199000
Czech Republic,CZE,10629000
Denmark,DNK,5818000
Djibouti,DJI,974000
Dominica,DMA,72000
Dominican Republic,DOM,10739000
Early-demographic dividend,EAR,3290981000
East Asia & Pacific,EAS,2340080000
East Asia & Pacific (excluding high income),EAP,2093269000
East Asia & Pacific (IDA & IBRD countries),TEA,2067566000
Ecuador,ECU,17374000
"Egypt, Arab Rep.",EGY,100388000
El Salvador,SLV,6454000
Equatorial Guinea,GNQ,1356000
Eritrea,ERI,..
Estonia,EST,1317000
Eswatini,SWZ,1148000
Ethiopia,ETH,112079000
Euro area,EMU,341888000
Europe & Central Asia,ECS,920901000
Europe & Central Asia (excluding high income),ECA,419413000
Europe & Central Asia (IDA & IBRD countries),TEC,461379000
European Union,EUU,513468000
Faroe Islands,FRO,49000
Fiji,FJI,890000
Finland,FIN,5533000
Fragile and conflict affected situations,FCS,526823000
France,FRA,67211000
French Polynesia,PYF,279000
Gabon,GAB,2173000
"Gambia, The",GMB,2348000
Georgia,GEO,3721000
Germany,DEU,82806000
Ghana,GHA,30418000
Gibraltar,GIB,34000
Greece,GRC,10696000
Greenland,GRL,..
Grenada,GRD,112000
Guam,GUM,167000
Guatemala,GTM,17581000
Guinea,GIN,12771000
Guinea-Bissau,GNB,1921000
Guyana,GUY,783000
Haiti,HTI,11263000
Heavily indebted poor countries (HIPC),HPC,801709000
High income,HIC,1215080000
Honduras,HND,9746000
"Hong Kong SAR, China",HKG,7508000
Hungary,HUN,9732000
Iceland,ISL,356000
India,IND,1366418000
Indonesia,IDN,270626000
"Iran, Islamic Rep.",IRN,82914000
Iraq,IRQ,39310000
Ireland,IRL,4893000
Isle of Man,IMN,85000
Israel,ISR,9018000
Italy,ITA,60340000
Jamaica,JAM,2948000
Japan,JPN,126097000
Jordan,JOR,10102000
Kazakhstan,KAZ,18469000
Kenya,KEN,52574000
Kiribati,KIR,118000
"Korea, Dem. People’s Rep.",PRK,25666000
"Korea, Rep.",KOR,51782000
Kosovo,XKX,1857000
Kuwait,KWT,4207000
Kyrgyz Republic,KGZ,6404000
Lao PDR,LAO,7169000
Late-demographic dividend,LTE,2298671000
Latin America & Caribbean,LCN,647291000
Latin America & Caribbean (excluding high income),LAC,614714000
Latin America & the Caribbean (IDA & IBRD countries),TLA,631586000
Latvia,LVA,1916000
Least developed countries: UN classification,LDC,1033389000
Lebanon,LBN,6856000
Lesotho,LSO,2125000
Liberia,LBR,4937000
Libya,LBY,6777000
